ticket_id,created_at,resolved_at,status,priority,category,subcategory,channel,site,assigned_group,resolution_minutes,sla_target_minutes,sla_met,root_cause,customer_satisfaction
TKT-00001,2026-02-27 09:47:00,2026-02-27 11:13:00,Closed,P1 - Critical,Account,Password reset,Self-service Portal,Canning Vale,Service Desk,86.0,240,True,User error,3.0
TKT-00002,2026-05-24 10:45:00,2026-05-24 18:13:00,Closed,P3 - Medium,Network,Switch port issue,Monitoring Alert,Wangara,Security Support,448.0,1440,True,Network outage,5.0
TKT-00003,2026-02-10 18:27:00,2026-02-11 06:03:00,Resolved,P4 - Low,Hardware,Monitor issue,Phone,Malaga,Service Desk,696.0,2880,True,User error,4.0
TKT-00004,2026-03-09 07:46:00,2026-03-09 16:03:00,Closed,P3 - Medium,Hardware,Workstation fault,Monitoring Alert,Perth CBD,Field Support,497.0,1440,True,Hardware failure,4.0
TKT-00005,2026-05-28 10:45:00,2026-05-29 00:41:00,Resolved,P3 - Medium,Printer,Driver issue,Walk-up,Perth CBD,Desktop Support,836.0,1440,True,Unknown,3.0
TKT-00006,2026-04-04 09:23:00,2026-04-04 23:43:00,Closed,P3 - Medium,Network,Slow connection,Email,Osborne Park,Desktop Support,860.0,1440,True,Network outage,4.0
TKT-00007,2026-06-13 18:35:00,2026-06-13 19:42:00,Closed,P2 - High,Account,MFA issue,Email,Wangara,Service Desk,67.0,480,True,Unknown,4.0
TKT-00008,2026-05-26 18:20:00,2026-05-27 09:09:00,Closed,P3 - Medium,Hardware,Keyboard/mouse,Monitoring Alert,Remote User,Security Support,889.0,1440,True,Configuration issue,4.0
TKT-00009,2026-03-09 18:37:00,2026-03-10 06:36:00,Closed,P3 - Medium,Hardware,Peripheral fault,Monitoring Alert,Malaga,Desktop Support,719.0,1440,True,Configuration issue,4.0
TKT-00010,2026-01-29 09:40:00,2026-01-29 10:23:00,Closed,P2 - High,Software,Performance issue,Self-service Portal,Perth CBD,Security Support,43.0,480,True,Software bug,4.0
TKT-00011,2026-05-22 07:43:00,2026-05-22 08:36:00,Closed,P3 - Medium,Account,MFA issue,Walk-up,Perth CBD,Network Support,53.0,1440,True,Software bug,5.0
TKT-00012,2026-03-09 15:48:00,2026-03-09 20:32:00,Resolved,P1 - Critical,Network,Slow connection,Self-service Portal,Osborne Park,Desktop Support,284.0,240,False,Configuration issue,3.0
TKT-00013,2026-05-16 07:38:00,,Pending Vendor,P2 - High,Hardware,Docking station issue,Monitoring Alert,Perth CBD,Service Desk,,480,,Hardware failure,
TKT-00014,2026-01-15 10:56:00,2026-01-16 01:32:00,Closed,P4 - Low,CCTV,Camera offline,Email,Remote User,Security Support,876.0,2880,True,Unknown,5.0
TKT-00015,2026-02-02 17:30:00,2026-02-02 22:47:00,Resolved,P3 - Medium,Network,LAN outage,Walk-up,Osborne Park,Field Support,317.0,1440,True,Software bug,5.0
TKT-00016,2026-06-26 10:45:00,2026-06-26 20:54:00,Resolved,P4 - Low,Security,Firewall alert,Monitoring Alert,Osborne Park,Security Support,609.0,2880,True,User error,4.0
TKT-00017,2026-05-22 10:37:00,2026-05-22 15:08:00,Closed,P2 - High,Hardware,Workstation fault,Email,Wangara,Service Desk,271.0,480,True,User error,4.0
TKT-00018,2026-06-21 14:13:00,2026-06-21 21:37:00,Closed,P2 - High,CCTV,IP address conflict,Phone,Canning Vale,Security Support,444.0,480,True,Configuration issue,5.0
TKT-00019,2026-04-16 14:55:00,2026-04-16 23:09:00,Closed,P3 - Medium,Network,Wi-Fi issue,Email,Canning Vale,Network Support,494.0,1440,True,Unknown,5.0
TKT-00020,2026-04-25 09:27:00,2026-04-25 14:15:00,Closed,P3 - Medium,CCTV,IP address conflict,Phone,Perth CBD,Security Support,288.0,1440,True,Unknown,4.0
TKT-00021,2026-05-19 07:05:00,2026-05-20 05:21:00,Closed,P3 - Medium,CCTV,NVR connectivity,Phone,Canning Vale,Security Support,1336.0,1440,True,Software bug,5.0
TKT-00022,2026-04-08 07:24:00,2026-04-08 10:04:00,Closed,P3 - Medium,Network,VPN issue,Walk-up,Canning Vale,Field Support,160.0,1440,True,Access permission,4.0
TKT-00023,2026-01-15 16:47:00,2026-01-15 17:15:00,Closed,P2 - High,Account,MFA issue,Email,Perth CBD,Field Support,28.0,480,True,Software bug,5.0
TKT-00024,2026-05-11 08:54:00,2026-05-11 21:05:00,Closed,P4 - Low,Software,Application error,Phone,Canning Vale,Service Desk,731.0,2880,True,Network outage,4.0
TKT-00025,2026-04-18 17:37:00,2026-04-19 10:29:00,Closed,P3 - Medium,Hardware,Docking station issue,Walk-up,Wangara,Network Support,1012.0,1440,True,Configuration issue,5.0
TKT-00026,2026-04-28 12:59:00,2026-04-28 21:31:00,Closed,P2 - High,Hardware,Workstation fault,Monitoring Alert,Osborne Park,Field Support,512.0,480,False,User error,4.0
TKT-00027,2026-03-31 08:56:00,2026-03-31 14:38:00,Closed,P2 - High,Network,Slow connection,Phone,Canning Vale,Field Support,342.0,480,True,Access permission,4.0
TKT-00028,2026-05-16 07:42:00,2026-05-16 18:40:00,Resolved,P4 - Low,Hardware,Docking station issue,Email,Wangara,Network Support,658.0,2880,True,User error,5.0
TKT-00029,2026-03-14 16:13:00,2026-03-15 00:45:00,Closed,P3 - Medium,CCTV,NVR connectivity,Walk-up,Osborne Park,Security Support,512.0,1440,True,Hardware failure,5.0
